Date,_DMIEU0D,_DMIEU0D-open,_DMIEU0D-high,_DMIEU0D-low,_DMIEU0D-close,_DMIEU0D-volume
09/30/2020,9842.335000,10146.963900,10264.064500,9610.162100,9842.335000,0.00000000
10/31/2020,9288.799800,9869.767600,10242.005900,9281.200200,9288.799800,0.00000000
11/30/2020,10870.652300,9431.601600,10970.763700,9431.601600,10870.652300,0.00000000
12/31/2020,11383.799800,11003.814500,11479.809600,11003.814500,11383.799800,0.00000000
01/31/2021,11220.351600,11383.799800,11763.735400,11220.351600,11220.351600,0.00000000
02/28/2021,11496.517600,11295.752000,11879.294900,11295.752000,11496.517600,0.00000000
03/31/2021,11863.259800,11622.023400,11943.518600,11417.785200,11863.259800,0.00000000
04/30/2021,12418.198200,11941.385700,12535.894500,11941.385700,12418.198200,0.00000000
05/31/2021,12953.614300,12527.712900,12973.092800,12314.342800,12953.614300,0.00000000
06/30/2021,12781.379900,13069.146500,13254.445300,12747.307600,12781.379900,0.00000000
07/31/2021,13019.543900,12867.326200,13113.085900,12482.844700,13019.543900,0.00000000
08/31/2021,13217.263700,13119.448200,13361.367200,12990.238300,13217.263700,0.00000000
09/30/2021,12594.810500,13338.175800,13407.045900,12594.810500,12594.810500,0.00000000
10/31/2021,13166.920900,12548.205100,13273.256800,12462.348600,13166.920900,0.00000000
11/30/2021,12490.113300,13284.929700,13406.400400,12490.113300,12490.113300,0.00000000
12/31/2021,13315.491200,12793.746100,13315.491200,12527.983400,13315.491200,0.00000000
01/31/2022,12707.701200,13287.751000,13466.156300,12472.325200,12707.701200,0.00000000
02/28/2022,12350.195300,12914.102500,13104.622100,11844.388700,12350.195300,0.00000000
03/31/2022,12352.151400,11966.529300,12508.334000,10979.877000,12352.151400,0.00000000
04/30/2022,11658.042000,12321.277300,12378.203100,11457.890600,11658.042000,0.00000000
05/31/2022,11770.622100,11482.203100,11927.043900,10844.878900,11770.622100,0.00000000
06/30/2022,10602.169900,11608.534200,11804.257800,10478.168000,10602.169900,0.00000000
07/31/2022,11128.528300,10538.518600,11128.528300,10136.730500,11128.528300,0.00000000
08/31/2022,10436.306600,11192.343800,11350.769500,10436.306600,10436.306600,0.00000000
09/30/2022,9530.717800,10135.309600,10834.683600,9368.000000,9530.717800,0.00000000
10/31/2022,10215.080100,9621.822300,10338.079100,9399.056600,10215.080100,0.00000000
11/30/2022,11376.601600,10262.168000,11498.384800,10020.273400,11376.601600,0.00000000
12/31/2022,11381.358400,11684.887700,11818.059600,11305.418000,11381.358400,0.00000000
01/31/2023,12370.688500,11492.170900,12457.886700,11492.170900,12370.688500,0.00000000
02/28/2023,12295.579100,12434.140600,12609.331100,12137.071300,12295.579100,0.00000000
03/31/2023,12603.325200,12282.051800,12603.325200,11601.939500,12603.325200,0.00000000
04/30/2023,13146.627900,12633.203100,13171.943400,12630.216800,13146.627900,0.00000000
05/31/2023,12400.344700,13083.597700,13164.295900,12400.344700,12400.344700,0.00000000
06/30/2023,12998.120100,12578.011700,13134.222700,12578.011700,12998.120100,0.00000000
07/31/2023,13398.972700,12968.070300,13398.972700,12541.473600,13398.972700,0.00000000
08/31/2023,12869.159200,13225.458000,13225.458000,12586.127000,12869.159200,0.00000000
09/30/2023,12360.110400,12813.823200,12813.823200,12180.278300,12360.110400,0.00000000
10/31/2023,11900.453100,12131.785200,12493.027300,11803.055700,11900.453100,0.00000000
11/30/2023,13077.659200,11946.509800,13077.659200,11946.509800,13077.659200,0.00000000
12/31/2023,13732.551800,13111.523400,13785.581100,13082.879900,13732.551800,0.00000000
01/31/2024,13718.359400,13732.551800,13732.551800,13190.674800,13718.359400,0.00000000
02/29/2024,13934.030300,13626.910200,14014.963900,13459.948200,13934.030300,0.00000000
03/31/2024,14472.536100,14033.716800,14478.897500,14033.716800,14472.536100,0.00000000
04/30/2024,14221.750000,14393.703100,14512.361300,13884.143600,14221.750000,0.00000000
05/31/2024,14937.712900,14189.170900,15082.865200,14174.766600,14937.712900,0.00000000
06/30/2024,14605.460900,15002.444300,15182.761700,14549.502000,14605.460900,0.00000000
07/31/2024,14921.538100,14665.242200,15221.972700,14626.249000,14921.538100,0.00000000
08/31/2024,15511.674800,14705.081100,15511.674800,14228.818400,15511.674800,0.00000000
09/30/2024,15573.603500,15505.663100,15747.970700,14920.870100,15573.603500,0.00000000
10/31/2024,14659.156300,15400.330100,15400.330100,14659.156300,14659.156300,0.00000000
11/30/2024,14415.497100,14809.445300,14840.088900,14085.403300,14415.497100,0.00000000
12/31/2024,14066.293000,14391.412100,14767.825200,13971.335900,14066.293000,0.00000000
01/31/2025,15036.780300,14066.293000,15070.932600,13910.010700,15036.780300,0.00000000
02/28/2025,15591.555700,14793.460000,15809.277300,14793.460000,15591.555700,0.00000000
