Date;Adj Close;Close;High;Low;Open;Volume;ticker
2015-11-01;10.255483627319336;19.8799991607666;19.940000534057617;18.0;18.18000030517578;60480212;ABN.AS
2015-12-01;10.727502822875977;20.795000076293945;20.799999237060547;19.049999237060547;19.899999618530273;21256937;ABN.AS
2016-01-01;9.925328254699707;19.239999771118164;21.0;17.950000762939453;20.795000076293945;17268373;ABN.AS
2016-02-01;9.40945816040039;18.239999771118164;19.5049991607666;15.225000381469727;19.440000534057617;28828154;ABN.AS
2016-03-01;9.288228988647461;18.0049991607666;19.290000915527344;17.299999237060547;18.200000762939453;20221432;ABN.AS
2016-04-01;9.631282806396484;18.670000076293945;19.25;17.309999465942383;17.850000381469727;20995583;ABN.AS
2016-05-01;9.442989349365234;18.30500030517578;18.985000610351562;16.985000610351562;18.670000076293945;46391979;ABN.AS
2016-06-01;7.882111072540283;14.895000457763672;18.5049991607666;14.5;18.299999237060547;54230579;ABN.AS
2016-07-01;8.794943809509277;16.6200008392334;16.68000030517578;14.020000457763672;15.079999923706055;32019046;ABN.AS
2016-08-01;9.75010871887207;18.424999237060547;18.53499984741211;15.744999885559082;16.600000381469727;31075843;ABN.AS
2016-09-01;9.971285820007324;18.420000076293945;19.094999313354492;17.719999313354492;18.485000610351562;29847473;ABN.AS
2016-10-01;11.381448745727539;21.024999618530273;21.065000534057617;18.125;18.399999618530273;26522622;ABN.AS
2016-11-01;11.043118476867676;20.399999618530273;22.1200008392334;19.450000762939453;21.024999618530273;55117625;ABN.AS
2016-12-01;11.39498233795166;21.049999237060547;22.110000610351562;19.885000228881836;20.40999984741211;32725720;ABN.AS
2017-01-01;11.773911476135254;21.75;22.725000381469727;20.94499969482422;21.100000381469727;27862998;ABN.AS
2017-02-01;11.692713737487793;21.600000381469727;22.774999618530273;21.084999084472656;21.924999237060547;34541074;ABN.AS
2017-03-01;12.315239906311035;22.75;24.100000381469727;21.790000915527344;21.790000915527344;36988054;ABN.AS
2017-04-01;13.046036720275879;24.100000381469727;24.360000610351562;21.799999237060547;22.78499984741211;30286664;ABN.AS
2017-05-01;12.426215171813965;22.954999923706055;25.834999084472656;22.725000381469727;24.100000381469727;50432109;ABN.AS
2017-06-01;12.564252853393555;23.209999084472656;23.5049991607666;22.270000457763672;22.510000228881836;129319517;ABN.AS
2017-07-01;13.196125984191895;23.90999984741211;24.524999618530273;23.260000228881836;23.31999969482422;50867348;ABN.AS
2017-08-01;12.991923332214355;23.540000915527344;25.3700008392334;23.135000228881836;23.93000030517578;45169254;ABN.AS
2017-09-01;14.356549263000488;25.34000015258789;25.34000015258789;22.604999542236328;23.610000610351562;55435392;ABN.AS
